ID F 1O 2O 3O 4O 5O
OGLE-GD-DSCT-0018   0.13152629       -1.     0.08140070  0.06896097 -1. -1.
OGLE-GD-DSCT-0021   0.09766834   0.07692128  0.06186007  -1.        -1.	-1.
OGLE-GD-DSCT-0025   0.1740594    0.13310790  0.10646403  0.0896032  -1.	-1.
OGLE-GD-DSCT-0033   0.06330743   0.04894428  0.03949024  -1.        -1.	-1.
OGLE-GD-DSCT-0034   0.06369610   0.04993199  0.04106100  -1.        -1.	-1.
OGLE-GD-DSCT-0048   0.10740182   0.08293446  0.06655117  -1.        -1.	-1.
OGLE-GD-DSCT-0049   0.36141456   0.27314926  0.21699323  -1.        -1.	-1.
OGLE-LMC-DSCT-1281 -1. 0.186737690  -1. 0.125497501  -1.	-1.
OGLE-LMC-DSCT-1728 -1. 0.164127578  0.131977201  -1. -1.	-1.
OGLE-LMC-DSCT-1406 -1. 0.136436101  0.111598560  -1. -1.	-1.
OGLE-LMC-DSCT-0915 -1. -1. 0.157394291  0.131531908  -1.	-1.
OGLE-LMC-DSCT-1071 -1. -1. 0.085116541  0.072146929  -1. 	-1.
OGLE-LMC-DSCT-1531 -1. -1. 0.142628295  0.119029067  -1.	-1.
OGLE-LMC-DSCT-2056 -1. 0.174487999  -1. 0.117361095  -1.	-1.
OGLE-LMC-DSCT-2076 -1. 0.185678411  -1. 0.124767784  -1.	-1.
OGLE-LMC-DSCT-0187 0.168740114  0.129622934   -1.   -1.   -1.	-1.
OGLE-LMC-DSCT-0269 0.128060980  0.099018575   -1.   -1.   -1.	-1.
OGLE-LMC-DSCT-0454 0.166351319  0.128017215   -1.   -1.   -1.	-1.
OGLE-LMC-DSCT-0527 0.139975297  0.107919210   -1.   -1.   -1.	-1.
OGLE-LMC-DSCT-0576 0.211186960  0.165630120   -1.   -1.   -1.	-1.
OGLE-LMC-DSCT-0595 0.205152755  0.156503406   -1.   -1.   -1.	-1.
OGLE-LMC-DSCT-0625 0.193827064  0.148511738   -1.   -1.   -1.	-1.
OGLE-LMC-DSCT-0654 0.120606737  0.093579076   -1.   -1.   -1.	-1.
OGLE-LMC-DSCT-0735 0.089153931  0.069060544   -1.   -1.   -1.	-1.
OGLE-LMC-DSCT-0889 0.198260206  0.151737004   -1.   -1.   -1.	-1.
OGLE-LMC-DSCT-0949 0.129653870  0.100183967   -1.   -1.   -1.	-1.
OGLE-LMC-DSCT-1255 0.183422430  0.140441619   -1.   -1.   -1.	-1.
OGLE-LMC-DSCT-1372 0.127979891  0.098839928   -1.   -1.   -1.	-1.
OGLE-LMC-DSCT-1401 0.159686917  0.122833619   -1.   -1.   -1.	-1.
OGLE-LMC-DSCT-1536 0.107741030  0.083492449   -1.   -1.   -1.	-1.
OGLE-LMC-DSCT-1607 0.210119315  0.160535537   -1.   -1.   -1.	-1.
OGLE-LMC-DSCT-1615 0.207832105  0.161223044   -1.   -1.   -1.	-1.
OGLE-LMC-DSCT-1621 0.125892395  0.097338068   -1.   -1.   -1.	-1.
OGLE-LMC-DSCT-1889 0.152228671  0.117471541   -1.   -1.   -1.	-1.
OGLE-LMC-DSCT-1890 0.143484035  0.110730915   -1.   -1.   -1.	-1.
OGLE-LMC-DSCT-1909 0.162574676  0.124742981   -1.   -1.   -1.	-1.
OGLE-LMC-DSCT-2190 0.169826226  0.131069097   -1.   -1.   -1.	-1.
OGLE-LMC-DSCT-2297 0.160848187  0.124597276   -1.   -1.   -1.	-1.
OGLE-LMC-DSCT-2335 0.137099172  0.105674373   -1.   -1.   -1.	-1.
OGLE-LMC-DSCT-2345 0.193998152  0.148392519  0.119213838  -1.   -1.	-1.
OGLE-LMC-DSCT-2388 0.172753378  0.132792224   -1.   -1.   -1.	-1.
OGLE-LMC-DSCT-2406 0.238283539  0.182106112   -1.   -1.   -1.	-1.
OGLE-LMC-DSCT-2529 -1.          0.159707265  0.128621570  -1.   -1.	-1.
OGLE-LMC-DSCT-2585 0.222147203  0.173476569   -1.   -1.   -1.	-1.
