ID F 1O 2O 3O 4O 5O
OGLE-SMC-CEP-1191 1.5870338 1.1656740 -1. -1. -1. -1.
OGLE-SMC-CEP-1206 1.7013245 1.2409012 -1. -1. -1. -1.
OGLE-SMC-CEP-1209 2.0970368 1.5431096 -1. -1. -1. -1.
OGLE-SMC-CEP-1219 1.3658312 1.0037588 -1. -1. -1. -1.
OGLE-SMC-CEP-1290 1.0238983 0.7558049 -1. -1. -1. -1.
OGLE-SMC-CEP-1300 1.8128661 1.3334748 -1. -1. -1. -1.
OGLE-SMC-CEP-1346 2.2882604 1.6687950 -1. -1. -1. -1.
OGLE-SMC-CEP-1378 1.5990040 1.1786621 -1. -1. -1. -1.
OGLE-SMC-CEP-1407 2.2435447 1.6361745 -1. -1. -1. -1.
OGLE-SMC-CEP-1497 4.9779792 3.5883290 -1. -1. -1. -1.
OGLE-SMC-CEP-1537 2.2313245 1.6314727 -1. -1. -1. -1.
OGLE-SMC-CEP-1570 2.3711805 1.7329656 -1. -1. -1. -1.
OGLE-SMC-CEP-1675 0.8851132 0.6633253 -1. -1. -1. -1.
OGLE-SMC-CEP-1716 0.8738743 0.6484973 -1. -1. -1. -1.
OGLE-SMC-CEP-1762 1.2768063 0.9453061 -1. -1. -1. -1.
OGLE-SMC-CEP-1781 1.6623676 1.2211223 -1. -1. -1. -1.
OGLE-SMC-CEP-1838 2.0207549 1.4753513 -1. -1. -1. -1.
OGLE-SMC-CEP-2016 2.1804761 1.5872853 -1. -1. -1. -1.
OGLE-SMC-CEP-2078 1.9133915 1.4054284 -1. -1. -1. -1.
OGLE-SMC-CEP-2257 0.8560663 0.6370111 -1. -1. -1. -1.
OGLE-SMC-CEP-2309 1.8333786 1.3429852 -1. -1. -1. -1.
OGLE-SMC-CEP-2354 1.9114886 1.4027637 -1. -1. -1. -1.
OGLE-SMC-CEP-2514 1.1209706 0.8239964 -1. -1. -1. -1.
OGLE-SMC-CEP-2515 2.0546200 1.5025825 -1. -1. -1. -1.
OGLE-SMC-CEP-2526 1.3161279 0.9680239 -1. -1. -1. -1.
OGLE-SMC-CEP-2530 1.7537766 1.2842771 -1. -1. -1. -1.
OGLE-SMC-CEP-2615 1.9551413 1.4318485 -1. -1. -1. -1.
OGLE-SMC-CEP-2671 0.8633047 0.6437023 -1. -1. -1. -1.
OGLE-SMC-CEP-2676 1.8297977 1.3414183 -1. -1. -1. -1.
OGLE-SMC-CEP-2782 1.8776834 1.3728094 -1. -1. -1. -1.
