ID F 1O 2O 3O 4O 5O
OGLE-LMC-RRLYR-01260 0.4700357 0.3496284 -1. -1. -1. -1.
OGLE-LMC-RRLYR-01272 0.5366317 0.4003475 -1. -1. -1. -1.
OGLE-LMC-RRLYR-01275 0.4690399 0.3487266 -1. -1. -1. -1.
OGLE-LMC-RRLYR-01313 0.4865762 0.3620532 -1. -1. -1. -1.
OGLE-LMC-RRLYR-01318 0.4643633 0.3448226 -1. -1. -1. -1.
OGLE-LMC-RRLYR-01319 0.4759797 0.3540812 -1. -1. -1. -1.
OGLE-LMC-RRLYR-01323 0.4622085 0.3432779 -1. -1. -1. -1.
OGLE-LMC-RRLYR-01329 0.5314950 0.3966361 -1. -1. -1. -1.
OGLE-LMC-RRLYR-01349 0.4948566 0.3685843 -1. -1. -1. -1.
OGLE-LMC-RRLYR-01377 0.5502578 0.4104983 -1. -1. -1. -1.
OGLE-LMC-RRLYR-01407 0.4938892 0.3678034 -1. -1. -1. -1.
OGLE-LMC-RRLYR-01416 0.4783218 0.3559587 -1. -1. -1. -1.
OGLE-LMC-RRLYR-01438 0.5291085 0.3944444 -1. -1. -1. -1.
OGLE-LMC-RRLYR-01450 0.4688285 0.3486641 -1. -1. -1. -1.
OGLE-LMC-RRLYR-01502 0.5091886 0.3795088 -1. -1. -1. -1.
OGLE-LMC-RRLYR-01505 0.4649435 0.3454480 -1. -1. -1. -1.
OGLE-LMC-RRLYR-01513 0.4731557 0.3519883 -1. -1. -1. -1.
OGLE-LMC-RRLYR-01553 0.5067989 0.3776925 -1. -1. -1. -1.
OGLE-LMC-RRLYR-01622 0.4905940 0.3649081 -1. -1. -1. -1.
OGLE-LMC-RRLYR-01628 0.4779278 0.3553457 -1. -1. -1. -1.
OGLE-LMC-RRLYR-01657 0.4720758 0.3512483 -1. -1. -1. -1.
OGLE-LMC-RRLYR-01663 0.4805711 0.3576152 -1. -1. -1. -1.
OGLE-LMC-RRLYR-01699 0.5131573 0.3827024 -1. -1. -1. -1.
OGLE-LMC-RRLYR-01714 0.5263655 0.3920740 -1. -1. -1. -1.
OGLE-LMC-RRLYR-01770 0.4914787 0.3660484 -1. -1. -1. -1.
OGLE-LMC-RRLYR-01827 0.4952278 0.3687017 -1. -1. -1. -1.
OGLE-LMC-RRLYR-01841 0.4754401 0.3537064 -1. -1. -1. -1.
OGLE-LMC-RRLYR-01854 0.4790768 0.3563750 -1. -1. -1. -1.
